Date,VALE3.SA,RECV3.SA,KEPL3.SA,CURY3.SA,VULC3.SA,LEVE3.SA,GGBR4.SA,LREN3.SA,ALSO3.SA,DIRR3.SA,MILS3.SA,RANI3.SA,CAMB3.SA,CSUD3.SA,CLSC4.SA,CMIG4.SA,ITSA4.SA,BBAS3.SA,TASA4.SA,SLCE3.SA,B3SA3.SA,PETR4.SA,SUZB3.SA,KLBN4.SA,BOVA11.SA
2021-05-05,110.70999908447266,15.609999656677246,8.475000381469727,9.850000381469727,7.809999942779541,24.43000030517578,32.80952453613281,37.62727355957031,26.65999984741211,12.75,8.359999656677246,7.699999809265137,5.360000133514404,27.0,65.4800033569336,9.30769157409668,8.839825630187988,29.260000228881836,25.25,43.818180084228516,17.16666603088379,23.829999923706055,67.66999816894531,5.519999980926514,115.1500015258789
2021-05-06,115.05000305175781,16.0,8.896665573120117,9.920000076293945,8.020000457763672,24.280000686645508,34.30475997924805,38.01818084716797,27.110000610351562,12.869999885559082,8.609999656677246,7.840000152587891,5.400000095367432,27.399999618530273,63.54999923706055,9.223075866699219,8.831168174743652,29.209999084472656,26.209999084472656,43.43801498413086,16.933332443237305,23.5,67.45999908447266,5.519999980926514,115.43000030517578
2021-05-07,115.44999694824219,16.600000381469727,8.858332633972168,10.09000015258789,8.380000114440918,24.469999313354492,34.63809585571289,39.599998474121094,28.020000457763672,13.100000381469727,9.199999809265137,8.289999961853027,5.550000190734863,25.90999984741211,64.97000122070312,9.238460540771484,8.952380180358887,29.940000534057617,25.850000381469727,43.214874267578125,17.780000686645508,24.3799991607666,67.41999816894531,5.510000228881836,117.45999908447266
2021-05-10,114.69000244140625,15.880000114440918,8.895000457763672,10.25,8.170000076293945,23.8700008392334,34.64761734008789,39.900001525878906,28.309999465942383,13.630000114440918,8.920000076293945,8.399999618530273,5.440000057220459,25.219999313354492,67.98999786376953,9.115384101867676,9.047618865966797,30.329999923706055,24.5,44.3636360168457,17.766666412353516,24.700000762939453,68.47000122070312,5.519999980926514,117.13999938964844
2021-05-11,118.72000122070312,16.149999618530273,8.91333293914795,10.199999809265137,8.369999885559082,24.469999313354492,35.85714340209961,40.4636344909668,28.510000228881836,13.25,8.8100004196167,8.399999618530273,5.53000020980835,25.549999237060547,68.0,9.238460540771484,9.047618865966797,30.549999237060547,23.969999313354492,46.685951232910156,17.616666793823242,25.149999618530273,68.31999969482422,5.570000171661377,118.12999725341797
2021-05-12,114.33000183105469,15.9399995803833,8.801666259765625,9.779999732971191,8.140000343322754,23.399999618530273,34.904762268066406,39.26363754272461,26.920000076293945,13.149999618530273,9.1899995803833,8.039999961853027,5.360000133514404,25.139999389648438,67.72000122070312,8.869230270385742,8.874458312988281,30.350000381469727,23.020000457763672,45.97520446777344,17.16666603088379,24.780000686645508,68.41999816894531,5.5,115.2699966430664
2021-05-13,112.48999786376953,15.75,8.863332748413086,9.930000305175781,8.170000076293945,23.459999084472656,33.93333435058594,40.10908889770508,27.3700008392334,13.279999732971191,8.539999961853027,8.390000343322754,5.0,24.049999237060547,67.98999786376953,9.061537742614746,9.030303001403809,31.15999984741211,22.899999618530273,41.40495681762695,17.25,24.989999771118164,66.80999755859375,5.340000152587891,116.04000091552734
2021-05-14,110.55999755859375,16.0,8.931666374206543,10.170000076293945,8.470000267028809,26.8700008392334,32.9619026184082,39.772727966308594,27.450000762939453,13.350000381469727,8.300000190734863,7.960000038146973,5.199999809265137,24.0,68.01000213623047,9.369230270385742,9.21212100982666,31.15999984741211,23.139999389648438,41.57851028442383,17.850000381469727,26.299999237060547,65.1500015258789,5.260000228881836,117.23999786376953
2021-05-17,113.45999908447266,16.34000015258789,8.871665954589844,10.09000015258789,8.779999732971191,29.989999771118164,33.71428680419922,41.0,28.06999969482422,14.4399995803833,8.640000343322754,8.1899995803833,5.210000038146973,23.81999969482422,68.5,9.538460731506348,9.220779418945312,31.709999084472656,23.219999313354492,41.528926849365234,17.579999923706055,26.65999984741211,66.5199966430664,5.269999980926514,118.30999755859375
2021-05-18,114.5999984741211,15.920000076293945,8.831665992736816,10.0,8.699999809265137,30.75,34.152381896972656,40.6363639831543,27.739999771118164,14.5,8.729999542236328,8.199999809265137,5.130000114440918,24.450000762939453,67.08999633789062,9.715383529663086,9.194805145263672,32.150001525878906,23.690000534057617,41.90082550048828,17.299999237060547,26.350000381469727,66.45999908447266,5.25,118.19000244140625
2021-05-19,112.25,15.600000381469727,8.649999618530273,9.75,8.59000015258789,29.68000030517578,33.78095245361328,40.33636474609375,27.780000686645508,14.25,8.220000267028809,8.079999923706055,5.079999923706055,24.40999984741211,67.4800033569336,10.20769214630127,9.298701286315918,32.70000076293945,24.489999771118164,40.0,17.219999313354492,26.149999618530273,65.94000244140625,5.25,118.01000213623047
2021-05-20,111.11000061035156,15.75,8.706665992736816,9.699999809265137,8.5,29.770000457763672,32.666664123535156,40.02727127075195,28.940000534057617,13.359999656677246,8.180000305175781,7.739999771118164,5.090000152587891,24.100000381469727,66.5,10.04615306854248,9.333333015441895,32.79999923706055,23.93000030517578,40.570247650146484,17.25,25.93000030517578,63.18000030517578,5.119999885559082,117.91000366210938
2021-05-21,109.4000015258789,15.699999809265137,8.666666030883789,9.40999984741211,8.460000038146973,29.889999389648438,32.25714111328125,40.14545440673828,28.309999465942383,12.880000114440918,7.829999923706055,7.519999980926514,5.039999961853027,23.889999389648438,66.01000213623047,10.092307090759277,9.38528060913086,33.08000183105469,24.149999618530273,39.99173355102539,17.350000381469727,25.950000762939453,64.8499984741211,5.119999885559082,118.01000213623047
