Empresa,Sharp
VALE3.SA,-0.5119087688107912
KEPL3.SA,0.3182127445981735
VULC3.SA,-0.8437526597345838
LEVE3.SA,1.5714089894005552
GGBR4.SA,-0.40514834789842197
LREN3.SA,0.43898025354940506
ALSO3.SA,-0.02964763267157214
DIRR3.SA,1.198454176815752
MILS3.SA,1.0915827870571821
RANI3.SA,1.120804356873987
CAMB3.SA,-19.425278430170017
CSUD3.SA,0.35152079770856254
CLSC4.SA,-1.9549428119943728
CMIG4.SA,-0.6684409639833
ITSA4.SA,-0.292614343023438
BBAS3.SA,-0.12270498840785152
TASA4.SA,0.999467309291032
SLCE3.SA,0.5926016906579948
B3SA3.SA,0.41414821691643905
PETR4.SA,-1.4006805776141658
SUZB3.SA,-66.57878168756655
KLBN4.SA,1.4856663823023128
BOVA11.SA,-1.0989167261734172
soma valor,-0.5559111085164667
