Empresa,Sharp
VALE3.SA,-0.2457777382257136
KEPL3.SA,1.6700568738498454
VULC3.SA,-0.19563591860495338
LEVE3.SA,0.02034422861629272
GGBR4.SA,0.30858181203241947
LREN3.SA,0.9763124737639146
ALSO3.SA,1.3693999731667916
DIRR3.SA,1.6300155116258646
MILS3.SA,1.0978895624928007
RANI3.SA,0.8611971024244385
CAMB3.SA,0.9882706857113331
CSUD3.SA,1.23679183878651
CLSC4.SA,0.3104685764870139
CMIG4.SA,-0.02560328474472943
ITSA4.SA,-0.16001191328538483
BBAS3.SA,-0.26002400976273554
TASA4.SA,0.21338324908378964
SLCE3.SA,-0.06660952319041467
B3SA3.SA,1.1658593444296097
PETR4.SA,-0.22570224758659105
SUZB3.SA,-0.6401843960348073
KLBN4.SA,0.8673691268631546
BOVA11.SA,0.1569656784128216
soma valor,0.7540407358975917
