Empresa,Sharp
VALE3.SA,1.6944036129894473
KEPL3.SA,1.1437217438486107
VULC3.SA,0.9886690133685703
LEVE3.SA,-0.5018266212526145
GGBR4.SA,2.1986271776264092
LREN3.SA,0.9538592769595955
ALSO3.SA,1.102794204330967
DIRR3.SA,0.4981748827252587
MILS3.SA,1.1439431147996826
RANI3.SA,0.3696219102492166
CAMB3.SA,-1.1091313673057117
CSUD3.SA,2.8366113974010987
CLSC4.SA,1.8938152557763457
CMIG4.SA,1.3246526051627492
ITSA4.SA,1.4611774533765185
BBAS3.SA,1.732139061745326
TASA4.SA,0.46505748244725315
SLCE3.SA,-0.33111819084214605
B3SA3.SA,1.2671206277262648
PETR4.SA,1.9877019363457569
SUZB3.SA,-6.207677649511893
KLBN4.SA,0.6770522002726332
BOVA11.SA,1.395167974873202
soma valor,1.5384844287548303
