Empresa,Sharp
VALE3.SA,-0.3811846363473195
KEPL3.SA,2.6912905525236313
VULC3.SA,-0.6533556670830142
LEVE3.SA,-0.5234927784678016
GGBR4.SA,-0.40134934429378943
LREN3.SA,-1.0553217418420444
ALSO3.SA,-2.2263577876814535
DIRR3.SA,-1.4699533121848063
MILS3.SA,-0.9800018184199036
RANI3.SA,1.3439908227121309
CAMB3.SA,-67.41363947712824
CSUD3.SA,-1.9075164803820643
CLSC4.SA,-1.22349406668398
CMIG4.SA,-0.33294198871828956
ITSA4.SA,-0.5324054072407349
BBAS3.SA,-0.6390430352410627
TASA4.SA,-1.4889915754858747
SLCE3.SA,-0.34403997165740036
B3SA3.SA,-0.7776853905435269
PETR4.SA,-0.6430030797002372
SUZB3.SA,-19.83763607211905
KLBN4.SA,-0.5904148031896101
BOVA11.SA,-1.241839833863235
soma valor,-2.025539424272104
