Empresa,Sharp
VALE3.SA,-0.25928817523105163
KEPL3.SA,0.47015215132931953
VULC3.SA,0.6405526392823498
LEVE3.SA,0.865469801833129
GGBR4.SA,0.4274156787472928
LREN3.SA,-0.5952331826805227
ALSO3.SA,-0.7234405145894728
DIRR3.SA,0.7306335544477798
MILS3.SA,1.2414045263102904
RANI3.SA,1.0631637096291553
CAMB3.SA,0.8676207664098449
CSUD3.SA,-0.5501506218697468
CLSC4.SA,-0.6567616792061831
CMIG4.SA,0.5102222533768781
ITSA4.SA,-0.4055070073260931
BBAS3.SA,0.5224485245730609
TASA4.SA,-0.9887672254890363
SLCE3.SA,0.14757413635402666
B3SA3.SA,-0.6024203501146499
PETR4.SA,0.5123701364069172
SUZB3.SA,-0.4264304161880745
KLBN4.SA,-0.3576058467634508
BOVA11.SA,-0.7202677913139431
soma valor,-0.401459549295644
