Empresa,Sharp
VALE3.SA,-0.6597600687078126
KEPL3.SA,-1.371702783062068
VULC3.SA,0.777173047095921
LEVE3.SA,0.7413877782305548
GGBR4.SA,-1.7880672131899908
LREN3.SA,0.10486475547367263
ALSO3.SA,-0.751697470411369
DIRR3.SA,-0.1794361937285759
MILS3.SA,-1.543204272024579
RANI3.SA,-2.0840416038926177
CAMB3.SA,-66.57878168756655
CSUD3.SA,-0.15840647563812177
CLSC4.SA,-0.07992916876005829
CMIG4.SA,-1.1851754896193878
ITSA4.SA,-0.9028803118307693
BBAS3.SA,-0.9419942532326371
TASA4.SA,-1.7758689277426998
SLCE3.SA,0.8275122675026486
B3SA3.SA,0.659597821407463
PETR4.SA,-0.8970453930091298
SUZB3.SA,-9.722463783377762
KLBN4.SA,-1.7450085772923647
BOVA11.SA,-1.0103926522536488
soma valor,-0.40968120025215854
