Empresa,Sharp
VALE3.SA,1.5096410126838014
KEPL3.SA,1.158390625822025
VULC3.SA,0.010270746465761952
LEVE3.SA,-0.9067761694791069
GGBR4.SA,0.8365214091586045
LREN3.SA,-0.5217406345733031
ALSO3.SA,-0.7177298185492486
DIRR3.SA,-0.07089333953853627
MILS3.SA,-0.4704643633629708
RANI3.SA,0.5502322058370746
CAMB3.SA,-0.2960624804607007
CSUD3.SA,0.4488973569250354
CLSC4.SA,-0.3758421969148507
CMIG4.SA,-0.05546981934653697
ITSA4.SA,-0.4120969812394921
BBAS3.SA,-0.5968658449474068
TASA4.SA,1.9416542093564035
SLCE3.SA,1.8264537014508808
B3SA3.SA,0.32126451118894284
PETR4.SA,0.007412764930734441
SUZB3.SA,1.2449380357689648
KLBN4.SA,0.7890691794396352
BOVA11.SA,0.06878272819197073
soma valor,0.13660891656909394
